, SALE PRICE ,ADDRESS,APARTMENT NUMBER,BLOCK,BOROUGH,BUILDING CLASS AT PRESENT,BUILDING CLASS AT TIME OF SALE,BUILDING CLASS CATEGORY,COMMERCIAL UNITS,EASE-MENT,GROSS SQUARE FEET,LAND SQUARE FEET,LATITUDE,LOCATION,LONGITUDE,LOT,NEIGHBORHOOD,RESIDENTIAL UNITS,SALE DATE,TAX CLASS AT PRESENT,TAX CLASS AT TIME OF SALE,TOTAL UNITS,YEAR BUILT,ZIP CODE
0,"725,000",28 BAY 10TH STREET, ,6360,3,A5,A5,01 ONE FAMILY DWELLINGS                    , -   , ,"1,428","1,547",37.79728,"[37.79728, -122.2619737]",-122.2619737,55,BATH BEACH,1,6/27/2017,1,1,1,1930,11228
1,"800,000",36 BAY 10TH   STREET, ,6360,3,A5,A5,01 ONE FAMILY DWELLINGS                    , -   , ,"1,428","1,547",37.7758828,"[37.7758828, -122.4170525]",-122.4170525,157,BATH BEACH,1,2/27/2017,1,1,1,1930,11228
2, -   ,47 BAY 10TH STREET, ,6361,3,A5,A5,01 ONE FAMILY DWELLINGS                    , -   , ,"1,660","1,933",37.7977597,"[37.7977597, -122.2631938]",-122.2631938,20,BATH BEACH,1,3/4/2017,1,1,1,1930,11228
3,"1,200,000",1730 86TH STREET, ,6367,3,S1,S1,01 ONE FAMILY DWELLINGS                    ,1, ,"1,920","1,342",40.6078477,"[40.6078477, -74.00406439999999]",-74.0040644,42,BATH BEACH,1,3/31/2017,1,1,2,1926,11214
4, -   ,50 BAY 23RD STREET, ,6373,3,A1,A1,01 ONE FAMILY DWELLINGS                    , -   , ,"1,672","2,417",40.7419258,"[40.7419258, -73.9919099]",-73.9919099,73,BATH BEACH,1,1/8/2018,1,1,1,1930,11214
5,10,145 BAY 8TH   STREET, ,6393,3,A5,A5,01 ONE FAMILY DWELLINGS                    , -   , ,"1,554","1,716",,,,16,BATH BEACH,1,9/15/2017,1,1,1,1920,11228
6,"1,060,000",1863 BATH AVENUE, ,6405,3,S1,S1,01 ONE FAMILY DWELLINGS                    ,1, ,"1,800","1,172",40.6029397,"[40.6029397, -74.0040636]",-74.0040636,49,BATH BEACH,1,4/21/2017,1,1,2,1920,11214
7,"2,050,000",1906 BENSON AVENUE, ,6406,3,A1,A1,01 ONE FAMILY DWELLINGS                    , -   , ,"2,386","5,750",40.603533,"[40.603533, -74.0024921]",-74.0024921,25,BATH BEACH,1,5/16/2017,1,1,1,1901,11214
8,"799,000",209 BAY 7TH STREET, ,6425,3,A9,A9,01 ONE FAMILY DWELLINGS                    , -   , ,"1,320","2,030",28.982594,"[28.982594, -95.9879066]",-95.9879066,24,BATH BEACH,1,9/6/2017,1,1,1,1920,11228
9, -   ,202 BAY 14TH STREET, ,6431,3,A9,A9,01 ONE FAMILY DWELLINGS                    , -   , ,"1,458","2,015",40.7385845,"[40.7385845, -74.0003344]",-74.0003344,57,BATH BEACH,1,6/19/2017,1,1,1,1910,11214
