BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,55, ,A5,28 BAY 10TH STREET, ,11228,1, -   ,1,"1,547","1,428",1930,1,A5,"725,000",6/27/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6360,157, ,A5,36 BAY 10TH   STREET, ,11228,1, -   ,1,"1,547","1,428",1930,1,A5,"800,000",2/27/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6361,20, ,A5,47 BAY 10TH STREET, ,11228,1, -   ,1,"1,933","1,660",1930,1,A5, -   ,3/4/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6367,42, ,S1,1730 86TH STREET, ,11214,1,1,2,"1,342","1,920",1926,1,S1,"1,200,000",3/31/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6373,73, ,A1,50 BAY 23RD STREET, ,11214,1, -   ,1,"2,417","1,672",1930,1,A1, -   ,1/8/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6393,16, ,A5,145 BAY 8TH   STREET, ,11228,1, -   ,1,"1,716","1,554",1920,1,A5,10,9/15/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6405,49, ,S1,1863 BATH AVENUE, ,11214,1,1,2,"1,172","1,800",1920,1,S1,"1,060,000",4/21/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6406,25, ,A1,1906 BENSON AVENUE, ,11214,1, -   ,1,"5,750","2,386",1901,1,A1,"2,050,000",5/16/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6425,24, ,A9,209 BAY 7TH STREET, ,11228,1, -   ,1,"2,030","1,320",1920,1,A9,"799,000",9/6/2017
3,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,6431,57, ,A9,202 BAY 14TH STREET, ,11214,1, -   ,1,"2,015","1,458",1910,1,A9, -   ,6/19/2017
